symbol,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw,expires,price,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega
BTC260618C00050000,3.75,3.85,3.75,2.0,3.85,2025-11-17T05:00:00Z,9.0,3.805556,4.16,305,A,1.93,380,A,A,2025-11-19T17:58:02.036553105Z,a,3.75,4.0,2025-11-17T19:52:38.512352807Z,X,3.75,3.75,3.75,1.0,3.75,2025-11-17T19:52:00Z,4.0,3.75,6.0,6.0,6.0,1.0,6.0,2025-11-13T05:00:00Z,1.0,6.0,2026-06-18,50000,0.5048,0.3591,0.0246,0.0646,-0.0146,0.1125
BTC260618C00046000,,,,,,,,,5.34,336,A,4.13,13,E,A,2025-11-19T18:00:19.720231818Z,,,,,,,,,,,,,,,,,,,,,,2026-06-18,46000,0.5604,0.4645,0.0236,0.0789,-0.0173,0.1196
BTC251121P00045000,5.17,5.32,4.65,4.0,4.67,2025-11-19T05:00:00Z,4.0,4.9525,5.7,70,E,4.75,109,A,A,2025-11-19T18:00:35.718521859Z,g,5.17,1.0,2025-11-19T17:42:17.233303393Z,C,5.17,5.17,5.17,1.0,5.17,2025-11-19T17:42:00Z,1.0,5.17,3.9,4.31,3.6,9.0,4.31,2025-11-18T05:00:00Z,16.0,4.045625,2025-11-21,45000,,,,,,
BTC270115P00033000,,,,,,,,,5.67,18,B,2.58,17,B,A,2025-11-19T17:38:43.127885348Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,33000,0.4922,-0.247,0.0151,-0.1607,-0.0065,0.1344
BTC251121C00045000,0.03,0.03,0.03,1.0,0.03,2025-11-19T05:00:00Z,1.0,0.03,0.03,10,U,0.0,0,?,A,2025-11-19T16:52:23.803375165Z,g,0.03,1.0,2025-11-19T17:32:55.00669187Z,C,0.03,0.03,0.03,1.0,0.03,2025-11-19T17:32:00Z,1.0,0.03,0.05,0.07,0.05,3.0,0.07,2025-11-18T05:00:00Z,17.0,0.064706,2025-11-21,45000,,,,,,
BTC260320P00049000,5.95,5.95,5.95,1.0,5.95,2025-11-03T05:00:00Z,1.0,5.95,11.18,22,X,9.57,60,E,A,2025-11-19T18:00:36.627001104Z,g,5.95,1.0,2025-11-03T15:58:01.079681813Z,C,5.95,5.95,5.95,1.0,5.95,2025-11-03T15:58:00Z,1.0,5.95,4.5,4.5,4.5,1.0,4.5,2025-10-07T04:00:00Z,1.0,4.5,2026-03-20,49000,0.4711,-0.7272,0.031,-0.1298,-0.0106,0.0757
BTC260116P00065000,15.0,15.0,15.0,1.0,15.0,2025-07-11T04:00:00Z,9.0,15.0,26.21,20,E,24.15,20,E,A,2025-11-19T17:58:34.647813201Z,I,15.0,9.0,2025-07-11T14:59:07.066672086Z,I,15.0,15.0,15.0,1.0,15.0,2025-07-11T14:59:00Z,9.0,15.0,17.98,17.98,17.93,4.0,17.93,2025-07-07T04:00:00Z,9.0,17.974444,2026-01-16,65000,0.6622,-0.9576,0.0086,-0.1002,-0.0014,0.0143
BTC260116P00062000,,,,,,,,,23.27,21,Z,20.93,21,E,A,2025-11-19T18:00:30.193238627Z,,,,,,,,,,,,,,,,,,,,,,2026-01-16,62000,0.5273,-0.9773,0.0065,-0.0966,0.0026,0.0085
BTC260320P00056000,10.2,10.2,10.2,1.0,10.2,2025-08-05T04:00:00Z,1.0,10.2,17.42,75,A,15.35,56,E,A,2025-11-19T18:00:38.863633369Z,I,10.28,1.0,2025-08-05T14:42:23.458168002Z,X,10.2,10.2,10.2,1.0,10.2,2025-08-05T14:42:00Z,1.0,10.2,,,,,,,,,2026-03-20,56000,0.4736,-0.8621,0.0204,-0.1674,-0.0045,0.0502
BTC270115P00061000,,,,,,,,,24.8,13,E,20.98,13,E,A,2025-11-19T17:58:15.442090587Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,61000,0.5276,-0.6584,0.0163,-0.5659,-0.0051,0.1562
