symbol,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,expires,price,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw
BTC280121C00025000,23.53,8,A,19.66,18,E,A,2025-11-19T19:03:14.660598376Z,2028-01-21,25000,0.682,0.8478,0.0059,0.2573,-0.0069,0.1369,21.57,21.7,21.57,3.0,21.7,2025-11-19T05:00:00Z,8.0,21.6675,a,21.57,2.0,2025-11-19T15:12:18.19135428Z,X,21.57,21.57,21.57,1.0,21.57,2025-11-19T15:12:00Z,2.0,21.57,22.0,22.6,22.0,2.0,22.6,2025-11-17T05:00:00Z,4.0,22.3
BTC251219P00061000,22.88,17,Z,19.44,21,Z, ,2025-11-19T18:27:59.420538224Z,2025-12-19,61000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260116P00068000,29.95,10,I,26.46,20,B, ,2025-11-19T18:57:26.599778774Z,2026-01-16,68000,0.619,-0.9803,0.0049,-0.1063,0.0031,0.0075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC251121C00070000,0.03,5,U,0.0,0,?,A,2025-11-19T15:18:07.443095912Z,2025-11-21,70000,,,,,,,0.05,0.05,0.05,1.0,0.05,2025-11-10T05:00:00Z,1.0,0.05,I,0.05,1.0,2025-11-10T14:47:26.974129121Z,U,0.05,0.05,0.05,1.0,0.05,2025-11-10T14:47:00Z,1.0,0.05,0.06,0.06,0.06,1.0,0.06,2025-11-06T05:00:00Z,1.0,0.06
BTC280121C00048000,13.39,6,B,8.67,11,E,A,2025-11-19T19:03:10.033550757Z,2028-01-21,48000,0.5619,0.6038,0.0118,0.2777,-0.0091,0.224,17.8,17.8,17.8,1.0,17.8,2025-10-14T04:00:00Z,10.0,17.8,I,17.8,10.0,2025-10-14T13:30:00.390839788Z,I,17.8,17.8,17.8,1.0,17.8,2025-10-14T13:30:00Z,10.0,17.8,18.0,18.0,17.6,9.0,17.6,2025-09-19T04:00:00Z,36.0,17.904167
BTC251121P00058000,18.6,33,E,16.7,41,C,A,2025-11-19T19:03:10.441924632Z,2025-11-21,58000,,,,,,,12.2,12.2,12.2,1.0,12.2,2025-11-04T05:00:00Z,4.0,12.2,f,12.2,4.0,2025-11-04T15:37:29.616536999Z,I,12.2,12.2,12.2,1.0,12.2,2025-11-04T15:37:00Z,4.0,12.2,7.3,7.3,7.3,1.0,7.3,2025-10-10T04:00:00Z,1.0,7.3
BTC251219P00052000,13.93,35,A,11.1,27,E, ,2025-11-19T19:00:27.013376375Z,2025-12-19,52000,0.5529,-0.9499,0.0165,-0.0411,-0.0054,0.0117,10.9,10.9,10.32,2.0,10.32,2025-11-17T05:00:00Z,23.0,10.824348,I,10.9,20.0,2025-11-17T17:34:34.332135567Z,U,10.9,10.9,10.9,1.0,10.9,2025-11-17T17:34:00Z,20.0,10.9,7.94,7.94,7.94,2.0,7.94,2025-11-07T05:00:00Z,2.0,7.94
BTC260320P00044000,7.65,196,X,5.89,584,A,A,2025-11-19T19:01:44.180541967Z,2026-03-20,44000,0.4731,-0.5866,0.0363,-0.0991,-0.0142,0.0884,4.1,4.1,4.1,1.0,4.1,2025-11-12T05:00:00Z,1.0,4.1,I,4.1,1.0,2025-11-12T14:30:00.518041804Z,I,4.1,4.1,4.1,1.0,4.1,2025-11-12T14:30:00Z,1.0,4.1,4.0,4.0,4.0,1.0,4.0,2025-10-17T04:00:00Z,5.0,4.0
BTC251219C00074000,0.73,307,A,0.0,0,?,A,2025-11-19T19:00:44.802802251Z,2025-12-19,74000,,,,,,,0.6,0.6,0.6,1.0,0.6,2025-10-10T04:00:00Z,2.0,0.6,I,0.6,2.0,2025-10-10T18:03:06.748964128Z,A,0.6,0.6,0.6,1.0,0.6,2025-10-10T18:03:00Z,2.0,0.6,0.7,0.7,0.7,1.0,0.7,2025-10-02T04:00:00Z,2.0,0.7
BTC251219P00033000,0.58,1,I,0.03,1333,A,A,2025-11-19T19:02:29.369801793Z,2025-12-19,33000,0.5276,-0.101,0.0296,-0.0035,-0.0171,0.02,0.55,0.55,0.28,4.0,0.33,2025-11-19T05:00:00Z,22.0,0.327273,I,0.53,2.0,2025-11-19T16:46:41.847520418Z,A,0.55,0.55,0.55,1.0,0.55,2025-11-19T16:46:00Z,2.0,0.55,0.45,0.45,0.45,1.0,0.45,2025-11-14T05:00:00Z,1.0,0.45
BTC270115C00063000,6.55,24,S,1.68,11,E,A,2025-11-19T19:02:53.405440919Z,2027-01-15,63000,0.5661,0.3449,0.0153,0.1097,-0.0114,0.1562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC251121P00053000,13.88,37,E,11.97,51,S, ,2025-11-19T19:03:12.095830749Z,2025-11-21,53000,,,,,,,12.2,12.2,12.2,1.0,12.2,2025-11-18T05:00:00Z,5.0,12.2,e,12.2,5.0,2025-11-18T15:46:39.936811097Z,B,12.2,12.2,12.2,1.0,12.2,2025-11-18T15:46:00Z,5.0,12.2,7.5,7.5,7.5,1.0,7.5,2025-11-12T05:00:00Z,2.0,7.5
BTC251219P00050000,10.94,16,E,9.04,35,B,A,2025-11-19T19:02:27.108652773Z,2025-12-19,50000,,,,,,,8.84,8.85,8.45,6.0,8.45,2025-11-17T05:00:00Z,22.0,8.629091,a,8.84,6.0,2025-11-17T17:36:37.357357336Z,X,8.84,8.85,8.84,3.0,8.85,2025-11-17T17:36:00Z,10.0,8.844,4.5,4.67,4.5,4.0,4.67,2025-11-10T05:00:00Z,12.0,4.648333
BTC270115C00038000,13.18,39,A,8.36,17,A,A,2025-11-19T19:02:06.602520621Z,2027-01-15,38000,0.5759,0.668,0.0149,0.1801,-0.012,0.1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC270115P00059000,23.76,12,E,19.64,12,E,A,2025-11-19T19:02:46.725541859Z,2027-01-15,59000,0.547,-0.6265,0.0163,-0.5366,-0.006,0.1606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC251219P00040000,2.92,23,M,2.27,172,A, ,2025-11-19T19:03:11.161458803Z,2025-12-19,40000,0.5238,-0.4989,0.0674,-0.0183,-0.037,0.0451,2.67,2.68,2.0,11.0,2.2,2025-11-19T05:00:00Z,17.0,2.290588,a,2.67,3.0,2025-11-19T18:39:33.086274374Z,C,2.67,2.67,2.67,1.0,2.67,2025-11-19T18:39:00Z,3.0,2.67,1.85,2.05,1.8,9.0,2.05,2025-11-18T05:00:00Z,26.0,1.901923
