symbol,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,expires,price,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw
BTC280121C00058000,0.5523,0.4965,0.0127,0.2406,-0.0089,0.2266,17.2,17.2,17.2,1.0,17.2,2025-10-03T04:00:00Z,6.0,17.2,10.12,53,A,5.98,64,A,A,2025-11-26T14:47:46.930124077Z,n,17.2,6.0,2025-10-03T16:39:31.795129468Z,I,17.2,17.2,17.2,1.0,17.2,2025-10-03T16:39:00Z,6.0,17.2,2028-01-21,58000,13.0,13.0,13.0,1.0,13.0,2025-09-23T04:00:00Z,6.0,13.0
BTC280121P00035000,0.5571,-0.2689,0.0104,-0.408,-0.005,0.1875,7.71,7.71,7.71,2.0,7.71,2025-11-20T05:00:00Z,10.0,7.71,10.88,21,A,6.19,24,A,A,2025-11-26T14:47:02.582497764Z,g,7.71,5.0,2025-11-20T14:49:22.815744992Z,C,7.71,7.71,7.71,2.0,7.71,2025-11-20T14:49:00Z,10.0,7.71,2028-01-21,35000,7.6,7.6,7.6,1.0,7.6,2025-11-17T05:00:00Z,50.0,7.6
BTC260320P00058000,0.6333,-0.8243,0.0189,-0.1613,-0.0102,0.0559,,,,,,,,,20.83,47,B,18.61,47,B, ,2025-11-26T14:46:27.702686757Z,,,,,,,,,,,,,,2026-03-20,58000,,,,,,,,
BTC280121C00052000,0.5927,0.5693,0.0117,0.2546,-0.0094,0.2232,16.1,18.2,15.9,6.0,18.2,2025-09-19T04:00:00Z,7.0,16.357143,12.08,70,A,8.36,11,U,A,2025-11-26T14:47:47.868446762Z,I,16.1,2.0,2025-09-19T15:03:50.612103074Z,I,16.1,18.2,15.9,6.0,18.2,2025-09-19T15:03:00Z,7.0,16.357143,2028-01-21,52000,,,,,,,,
BTC251219C00067000,,,,,,,,,,,,,,,0.73,515,A,0.0,0,?,A,2025-11-26T14:42:03.236562802Z,,,,,,,,,,,,,,2025-12-19,67000,,,,,,,,
BTC260116P00044000,0.5271,-0.6997,0.0456,-0.0467,-0.0225,0.0503,7.48,7.48,7.48,1.0,7.48,2025-11-21T05:00:00Z,1.0,7.48,7.23,198,X,5.5,535,A,A,2025-11-26T14:47:32.717265483Z,f,7.48,1.0,2025-11-21T14:32:00.407184874Z,Z,7.48,7.48,7.48,1.0,7.48,2025-11-21T14:32:00Z,1.0,7.48,2026-01-16,44000,,,,,,,,
BTC260320C00025000,0.653,0.9212,0.0104,0.0658,-0.0113,0.0318,13.32,13.32,13.32,1.0,13.32,2025-11-21T05:00:00Z,3.0,13.32,15.61,437,A,13.58,135,A,A,2025-11-26T14:47:25.359656745Z,g,13.32,3.0,2025-11-21T19:30:24.550140443Z,C,13.32,13.32,13.32,1.0,13.32,2025-11-21T19:30:00Z,3.0,13.32,2026-03-20,25000,,,,,,,,
BTC260320C00044000,0.5302,0.4036,0.0338,0.04,-0.0208,0.0838,2.54,2.7,2.54,2.0,2.7,2025-11-24T05:00:00Z,2.0,2.62,3.46,608,A,2.18,424,A,A,2025-11-26T14:47:50.175445414Z,a,2.54,1.0,2025-11-24T14:56:54.770366944Z,X,2.54,2.54,2.54,1.0,2.54,2025-11-24T14:56:00Z,1.0,2.54,2026-03-20,44000,6.15,6.25,6.15,2.0,6.25,2025-11-13T05:00:00Z,4.0,6.2
BTC280121P00050000,0.5534,-0.4303,0.0125,-0.7416,-0.0048,0.2232,16.68,16.68,16.68,1.0,16.68,2025-11-19T05:00:00Z,10.0,16.68,19.45,81,A,16.11,90,A,A,2025-11-26T14:47:52.665201032Z,f,16.68,10.0,2025-11-19T14:30:35.85372211Z,A,16.68,16.68,16.68,1.0,16.68,2025-11-19T14:30:00Z,10.0,16.68,2028-01-21,50000,14.4,14.8,14.4,2.0,14.8,2025-11-07T05:00:00Z,20.0,14.6
BTC280121P00061000,0.5597,-0.5236,0.0125,-0.9943,-0.004,0.2263,,,,,,,,,27.4,12,E,24.4,5,P,A,2025-11-26T14:48:00.8977829Z,,,,,,,,,,,,,,2028-01-21,61000,,,,,,,,
