symbol,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,expires,price,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega
BTC260618P00056000,,,,,,,,,17.98,56,A,15.78,47,B,A,2025-11-19T19:10:20.716911573Z,,,,,,,,,,,,,,2026-06-18,56000,,,,,,,,,0.4612,-0.7773,0.0216,-0.2748,-0.0049,0.0894
BTC280121P00075000,26.1,26.44,26.1,3.0,26.44,2025-10-06T04:00:00Z,17.0,26.237059,40.08,14,M,34.67,14,U, ,2025-11-19T19:09:05.800504191Z,I,26.1,10.0,2025-10-06T18:37:44.837738433Z,T,26.1,26.1,26.1,1.0,26.1,2025-10-06T18:37:00Z,10.0,26.1,2028-01-21,75000,27.95,27.95,27.95,1.0,27.95,2025-10-02T04:00:00Z,10.0,27.95,0.6044,-0.5777,0.0111,-1.307,-0.0033,0.2275
BTC251219C00053000,0.22,0.22,0.22,1.0,0.22,2025-11-17T05:00:00Z,1.0,0.22,0.77,654,A,0.0,0,?,A,2025-11-19T19:09:05.397368369Z,g,0.22,1.0,2025-11-17T14:42:43.57139089Z,C,0.22,0.22,0.22,1.0,0.22,2025-11-17T14:42:00Z,1.0,0.22,2025-12-19,53000,0.6,0.6,0.6,1.0,0.6,2025-11-13T05:00:00Z,10.0,0.6,,,,,,
BTC280121P00070000,,,,,,,,,35.78,8,E,30.06,15,S,A,2025-11-19T19:11:13.708688176Z,,,,,,,,,,,,,,2028-01-21,70000,,,,,,,,,0.5833,-0.5614,0.0116,-1.1963,-0.0035,0.2292
BTC251219C00034000,,,,,,,,,6.5,73,A,6.0,187,A,A,2025-11-19T19:11:13.707785272Z,,,,,,,,,,,,,,2025-12-19,34000,,,,,,,,,0.6169,0.8279,0.0366,0.0217,-0.0325,0.0288
BTC260618C00050000,3.75,3.85,3.75,2.0,3.85,2025-11-17T05:00:00Z,9.0,3.805556,4.14,355,A,2.029,448,A,A,2025-11-19T19:10:26.835015469Z,a,3.75,4.0,2025-11-17T19:52:38.512352807Z,X,3.75,3.75,3.75,1.0,3.75,2025-11-17T19:52:00Z,4.0,3.75,2026-06-18,50000,6.0,6.0,6.0,1.0,6.0,2025-11-13T05:00:00Z,1.0,6.0,0.5129,0.3601,0.0243,0.0643,-0.0148,0.1122
BTC270115P00039000,6.13,6.13,5.5,2.0,5.5,2025-11-04T05:00:00Z,2.0,5.815,8.79,27,M,6.05,18,U, ,2025-11-19T19:11:13.707466064Z,a,6.13,1.0,2025-11-04T17:13:44.553372565Z,X,6.13,6.13,6.13,1.0,6.13,2025-11-04T17:13:00Z,1.0,6.13,2027-01-15,39000,6.9,6.9,6.9,1.0,6.9,2025-10-17T04:00:00Z,1.0,6.9,0.514,-0.356,0.0171,-0.2481,-0.0076,0.158
BTC260320C00068000,2.0,2.0,2.0,1.0,2.0,2025-10-16T04:00:00Z,1.0,2.0,0.82,141,B,0.03,14,E,A,2025-11-19T19:10:49.260303089Z,I,2.0,1.0,2025-10-16T15:43:42.665324873Z,I,2.0,2.0,2.0,1.0,2.0,2025-10-16T15:43:00Z,1.0,2.0,2026-03-20,68000,3.1,3.1,3.1,1.0,3.1,2025-10-10T04:00:00Z,1.0,3.1,0.587,0.08,0.0112,0.009,-0.0085,0.0338
BTC260116P00054000,14.0,14.0,14.0,1.0,14.0,2025-11-19T05:00:00Z,1.0,14.0,14.74,8,U,12.75,29,E, ,2025-11-19T19:00:27.013881175Z,I,14.0,1.0,2025-11-19T14:30:02.190474968Z,D,14.0,14.0,14.0,1.0,14.0,2025-11-19T14:30:00Z,1.0,14.0,2026-01-16,54000,11.8,11.8,11.8,1.0,11.8,2025-11-14T05:00:00Z,10.0,11.8,,,,,,
BTC260320P00075000,28.2,28.2,28.2,1.0,28.2,2025-11-03T05:00:00Z,2.0,28.2,37.16,20,A,34.04,14,X,A,2025-11-19T18:59:14.543757278Z,I,28.19,2.0,2025-11-03T16:20:49.488647639Z,I,28.2,28.2,28.2,1.0,28.2,2025-11-03T16:20:00Z,2.0,28.2,2026-03-20,75000,28.58,28.58,28.58,1.0,28.58,2025-10-17T04:00:00Z,3.0,28.58,0.8051,-0.8702,0.0116,-0.2318,-0.0086,0.048
